,C_ETH,A_ETH,D_ETH
2020-01-08 00:00:00,0.022713649319485205,0.0,0.0029510612522497025
2020-01-09 00:00:00,0.02283471621121549,0.00013156918370176677,0.002938111306619154
2020-01-10 00:00:00,0.02115174530130016,0.0008692383282087715,0.0030186558389267617
2020-01-11 00:00:00,0.02114529913040117,0.0008625994591955917,0.003061641256785695
2020-01-12 00:00:00,0.021164966401836054,0.01417410632002925,0.0033204088251459194
2020-01-13 00:00:00,0.02117331321178106,0.012617808193303348,0.0033459129183411695
2020-01-14 00:00:00,0.021167998035552686,0.01632000631881914,0.0027205551340470677
2020-01-15 00:00:00,0.021174167681878547,0.014989997257679785,0.00249170271858188
2020-01-16 00:00:00,0.02117035616487412,0.009448034670542579,0.0026216929295681097
2020-01-17 00:00:00,0.021168648239590193,0.007821544226389907,0.0026645862875853688
2020-01-18 00:00:00,0.02105590531823244,0.007458920373285856,0.0027010200530612847
2020-01-19 00:00:00,0.021012428595036776,0.007311904856945288,0.002527431225542344
2020-01-20 00:00:00,0.021033003217376407,0.00524626526908765,0.003947993881135873
2020-01-21 00:00:00,0.02106601023964949,0.0049453010095187565,0.004498306098900719
2020-01-22 00:00:00,0.021131853805865713,0.0064805683899574655,0.004275620553794488
2020-01-23 00:00:00,0.021219792219766366,0.009360994436076379,0.004078349477746218
2020-01-24 00:00:00,0.02110497315626375,0.011180654315975603,0.0038905117866869605
2020-01-25 00:00:00,0.021053788450803475,0.010018323011858189,0.004496266875114044
2020-01-26 00:00:00,0.021006303183487885,0.009882936128891193,0.004670866051826665
2020-01-27 00:00:00,0.020942680176838604,0.009813943441918641,0.004378189560360198
2020-01-28 00:00:00,0.02097909506931165,0.010083481872056056,0.004990327580539511
2020-01-29 00:00:00,0.020991601100691516,0.010814296288652972,0.004295548909719691
2020-01-30 00:00:00,0.021013175813926404,0.012133097628967072,0.004143273093139272
2020-01-31 00:00:00,0.021017989427130904,0.010342177278119721,0.004545915721076007
2020-02-01 00:00:00,0.02106620217990485,0.009731067991480134,0.004800328267161762
2020-02-02 00:00:00,0.020662154940118676,0.00944653493096173,0.005268311979731721
2020-02-03 00:00:00,0.0206404262464204,0.009254617091254927,0.005314418668365492
2020-02-04 00:00:00,0.02065222613213601,0.009024619008223597,0.005690561912131346
2020-02-05 00:00:00,0.020655334164788004,0.009967431472246484,0.005396822821995345
2020-02-06 00:00:00,0.02097785476526761,0.009735568845851377,0.003794872870520471
2020-02-07 00:00:00,0.021002066008221243,0.009214775651495921,0.003365340881077928
2020-02-08 00:00:00,0.02099496371062302,0.009146957253131244,0.003953715173859813
2020-02-09 00:00:00,0.020935000338721477,0.012630150694868142,0.0044590477165363605
2020-02-10 00:00:00,0.02083330223728035,0.021803200409779958,0.005011129793243317
2020-02-11 00:00:00,0.02081530155372755,0.021364588792395528,0.00520292816802687
2020-02-12 00:00:00,0.02081518573496563,0.02017613270410644,0.0038422036514032545
2020-02-13 00:00:00,0.020544268616274095,0.01801660963210837,0.003966367760354192
2020-02-14 00:00:00,0.020546667754237816,0.014704313258944753,0.004286936942328197
2020-02-15 00:00:00,0.020557667864132108,0.012455262693063,0.0036874617915753196
2020-02-16 00:00:00,0.020560432609498584,0.01223877438587464,0.0032677895103511243
2020-02-17 00:00:00,0.02052849440371591,0.01258035349376317,0.0035531436491978595
2020-02-18 00:00:00,0.020510068459168633,0.012405490013561013,0.003607303582288804
2020-02-19 00:00:00,0.020522942767491215,0.013287516441544488,0.0039672120288455105
2020-02-20 00:00:00,0.02054416075681017,0.01359878200590137,0.0037911921934133193
2020-02-21 00:00:00,0.02053324354078537,0.012543281272531386,0.004212825195159566
2020-02-22 00:00:00,0.020519866625354374,0.010758944201350066,0.005011151698923897
2020-02-23 00:00:00,0.020520213737567856,0.011419438814903699,0.0060739082157209075
2020-02-24 00:00:00,0.0205271470734867,0.012265332766527939,0.0047504065684367035
2020-02-25 00:00:00,0.020512318701002567,0.011781983286640879,0.00355027638081277
2020-02-26 00:00:00,0.020478848811675138,0.008951479430645608,0.0037367575592916116
2020-02-27 00:00:00,0.0204980122783101,0.0071161213481781395,0.004270121134833907
2020-02-28 00:00:00,0.020542175855241804,0.005712687149879185,0.004934518070973035
2020-02-29 00:00:00,0.020559471998027413,0.004689771259475343,0.004923879124199317
2020-03-01 00:00:00,0.020573998540833364,0.004667139915068422,0.004887552226832169
2020-03-02 00:00:00,0.020573553030533296,0.004839870609351789,0.005341456514026352
2020-03-03 00:00:00,0.020634524541191367,0.005328502117656098,0.005033040383233427
2020-03-04 00:00:00,0.02066054623722404,0.005382687534753034,0.004535038758531987
2020-03-05 00:00:00,0.020901787270947606,0.0054720748783107205,0.0036961883382407553
2020-03-06 00:00:00,0.020986662065142547,0.005670456775819055,0.005388002488172234
2020-03-07 00:00:00,0.02095943623186697,0.00570995947086353,0.006868186337799903
2020-03-08 00:00:00,0.020837295910836273,0.005674848954372975,0.005928375128944925
2020-03-09 00:00:00,0.020945951450285945,0.005545757596693887,0.005557070081780263
2020-03-10 00:00:00,0.02109227856064256,0.005379606186189885,0.006161634180976505
2020-03-11 00:00:00,0.02116626298006796,0.0058012594860802555,0.005730158633164579
2020-03-12 00:00:00,0.02108560145402876,0.004426341893066584,0.005278017455531498
2020-03-13 00:00:00,0.02107483263777288,0.0035583285050713284,0.0023153439038923135
2020-03-14 00:00:00,0.02100212289940431,0.0032266894946905668,0.00459270249664295
2020-03-15 00:00:00,0.020996142187596236,0.002564366722184396,0.006007962358241601
2020-03-16 00:00:00,0.020984680368982295,0.0032377770976280526,0.007580887685743337
2020-03-17 00:00:00,0.021026699978710355,0.003797492430936442,0.008144041714527156
2020-03-18 00:00:00,0.02107459715766469,0.004068709121751143,0.011767028114990172
2020-03-19 00:00:00,0.021135090369243922,0.002902908025890911,0.011474725254822224
2020-03-20 00:00:00,0.021213887812876985,0.002748244637718255,0.010706953252388941
2020-03-21 00:00:00,0.021191081556019776,0.0027005167169366147,0.011294879004185947
2020-03-22 00:00:00,0.02114045283623264,0.0027130186015699737,0.01213412410964113
2020-03-23 00:00:00,0.021069659777322947,0.0027162193501319215,0.012412408027416928
2020-03-24 00:00:00,0.020994045895689515,0.002474207717730239,0.011797846595747894
2020-03-25 00:00:00,0.021111642162450338,0.0020442435363627457,0.011226296998976397
2020-03-26 00:00:00,0.020836790333731377,0.0025676136869913404,0.010956220432826382
2020-03-27 00:00:00,0.0208717421459481,0.002940606126997246,0.01182373592389358
2020-03-28 00:00:00,0.02088452705383187,0.0036745072228777597,0.017730013018970293
2020-03-29 00:00:00,0.020880661013178557,0.00393723827163056,0.0196537999701734
2020-03-30 00:00:00,0.02086964414383526,0.003993780760602413,0.017266405885199582
2020-03-31 00:00:00,0.020883357180096325,0.003957894271057377,0.016889965819918532
2020-04-01 00:00:00,0.020866675551363085,0.004333164667046759,0.017648169561541024
2020-04-02 00:00:00,0.02088319913971817,0.004679402469565883,0.018535009068223113
2020-04-03 00:00:00,0.02073349418703191,0.004841423858763599,0.019815298888321564
2020-04-04 00:00:00,0.02064286221623757,0.004864683149088884,0.01831163636070495
2020-04-05 00:00:00,0.020629780155884583,0.0048842762052633375,0.017444423518604226
2020-04-06 00:00:00,0.020627359676654237,0.00487825816943725,0.013272429459461667
2020-04-07 00:00:00,0.02062877349304687,0.004525602143247423,0.021281043481896616
2020-04-08 00:00:00,0.020625937954447494,0.004143482687260218,0.023772501176042505
2020-04-09 00:00:00,0.020626167668207976,0.0039201623229224965,0.024070113587765687
2020-04-10 00:00:00,0.0207254481071388,0.004050022488184267,0.023730673108191568
2020-04-11 00:00:00,0.020723532436850906,0.003684687934696671,0.02304018861157488
2020-04-12 00:00:00,0.020727911327296043,0.0036885281944277495,0.02230624766457969
2020-04-13 00:00:00,0.02074561062953,0.0036994874794899616,0.021965409283565978
2020-04-14 00:00:00,0.020770253459559955,0.0037210713198821536,0.022226917794941403
2020-04-15 00:00:00,0.020761713826276885,0.004232516512914719,0.022314125807115767
2020-04-16 00:00:00,0.020863255386201412,0.004351503818580965,0.02361053496202749
2020-04-17 00:00:00,0.021073856305344578,0.004579109204947546,0.020839653614335357
2020-04-18 00:00:00,0.020937999496864267,0.00462802839926653,0.021520325424503373
2020-04-19 00:00:00,0.021202329933055,0.008239298206117329,0.024110102241446798
2020-04-20 00:00:00,0.0211896551569673,0.005145757989334855,0.026272882059956194
2020-04-21 00:00:00,0.02110175948063838,0.005332600101786649,0.020039821418829543
2020-04-22 00:00:00,0.021027965614187023,0.005185304446466617,0.02015958039511205
2020-04-23 00:00:00,0.020918070535632906,0.005536918118719268,0.01888530605479435
2020-04-24 00:00:00,0.020917704488665236,0.006377025859573281,0.016043706853918368
2020-04-25 00:00:00,0.020915178369606338,0.005333107626199942,0.015132941399274324
2020-04-26 00:00:00,0.020908269979782373,0.005212964955248592,0.015732937689659766
2020-04-27 00:00:00,0.02089092575926773,0.005531882297072205,0.018581065456243974
2020-04-28 00:00:00,0.020834578025449094,0.005324188811676259,0.018681794558157126
2020-04-29 00:00:00,0.020738413791217884,0.0056213017226306086,0.018011483831607698
2020-04-30 00:00:00,0.020719117535087633,0.006037410983153064,0.017475548669731247
2020-05-01 00:00:00,0.020711792751888454,0.0059966781959442895,0.018733708837393136
2020-05-02 00:00:00,0.020713740853681252,0.0055923906959473154,0.02147776944879398
2020-05-03 00:00:00,0.02070705521777661,0.006036135027585571,0.022110767149747548
2020-05-04 00:00:00,0.020714414302822167,0.00597100120360223,0.01859391860183913
2020-05-05 00:00:00,0.020702451951150787,0.00579366274202918,0.017271901923320315
2020-05-06 00:00:00,0.020706856644967304,0.005368892708070684,0.01717104669913973
2020-05-07 00:00:00,0.020697029971104265,0.005430606472667399,0.015543474781673344
2020-05-08 00:00:00,0.020701631803116582,0.0055517648288777545,0.012665891889537801
